PassengerId,Survived,Age,SibSp,Parch,Fare,Embarked,male,C,Q,S,pclass_1,pclass_2,pclass_3
1,0.0,22.0,1,0,7.25,S,1.0,0,0,1.0,0,0,1.0
892,,34.5,0,0,7.8292,Q,1.0,0,0,1.0,0,0,1.0
2,1.0,38.0,1,0,71.2833,C,0,1.0,0,0,1.0,0,0
893,,47.0,1,0,7.0,S,0,1.0,0,0,1.0,0,0
3,1.0,26.0,0,0,7.925,S,0,0,0,1.0,0,0,1.0
894,,62.0,0,0,9.6875,Q,0,0,0,1.0,0,0,1.0
4,1.0,35.0,1,0,53.1,S,0,0,0,1.0,1.0,0,0
895,,27.0,0,0,8.6625,S,0,0,0,1.0,1.0,0,0
5,0.0,35.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
896,,22.0,1,1,12.2875,S,1.0,0,0,1.0,0,0,1.0
6,0.0,29.7,0,0,8.4583,Q,1.0,0,1.0,0,0,0,1.0
897,,14.0,0,0,9.225,S,1.0,0,1.0,0,0,0,1.0
7,0.0,54.0,0,0,51.8625,S,1.0,0,0,1.0,1.0,0,0
898,,30.0,0,0,7.6292,Q,1.0,0,0,1.0,1.0,0,0
8,0.0,2.0,3,1,21.075,S,1.0,0,0,1.0,0,0,1.0
899,,26.0,1,1,29.0,S,1.0,0,0,1.0,0,0,1.0
9,1.0,27.0,0,2,11.1333,S,0,0,0,1.0,0,0,1.0
900,,18.0,0,0,7.2292,C,0,0,0,1.0,0,0,1.0
10,1.0,14.0,1,0,30.0708,C,0,1.0,0,0,0,1.0,0
901,,21.0,2,0,24.15,S,0,1.0,0,0,0,1.0,0
11,1.0,4.0,1,1,16.7,S,0,0,0,1.0,0,0,1.0
902,,30.3,0,0,7.8958,S,0,0,0,1.0,0,0,1.0
12,1.0,58.0,0,0,26.55,S,0,0,0,1.0,1.0,0,0
903,,46.0,0,0,26.0,S,0,0,0,1.0,1.0,0,0
13,0.0,20.0,0,0,8.05,S,1.0,0,0,1.0,0,0,1.0
904,,23.0,1,0,82.2667,S,1.0,0,0,1.0,0,0,1.0
14,0.0,39.0,1,5,31.275,S,1.0,0,0,1.0,0,0,1.0
905,,63.0,1,0,26.0,S,1.0,0,0,1.0,0,0,1.0
15,0.0,14.0,0,0,7.8542,S,0,0,0,1.0,0,0,1.0
906,,47.0,1,0,61.175,S,0,0,0,1.0,0,0,1.0
16,1.0,55.0,0,0,16.0,S,0,0,0,1.0,0,1.0,0
907,,24.0,1,0,27.7208,C,0,0,0,1.0,0,1.0,0
17,0.0,2.0,4,1,29.125,Q,1.0,0,1.0,0,0,0,1.0
908,,35.0,0,0,12.35,Q,1.0,0,1.0,0,0,0,1.0
18,1.0,29.7,0,0,13.0,S,1.0,0,0,1.0,0,1.0,0
